Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
ERC,M2,cPTAC,Measure,CZ15,42.32083333333334,12802335.934703771
ERC,M2,cPTAC,Measure,CZ16,25.15416666666667,9493204.466580486
ERC,M2,cPVVG,Base,CZ01,16.715000000000003,4460184.177708643
ERC,M2,cPVVG,Base,CZ02,25.97041666666667,6921228.332010839
ERC,M2,cPVVG,Base,CZ03,24.965,5867374.880996672
ERC,M2,cPVVG,Base,CZ04,32.625416666666666,8287506.302012182
ERC,M2,cPVVG,Base,CZ05,22.50375,5523440.827185839
ERC,M2,cPVVG,Base,CZ06,25.295833333333334,6325039.039151897
ERC,M2,cPVVG,Base,CZ07,25.2725,8197957.462359101
ERC,M2,cPVVG,Base,CZ08,32.28541666666666,8266546.032177435
ERC,M2,cPVVG,Base,CZ09,35.456250000000004,8674673.657905139
ERC,M2,cPVVG,Base,CZ10,35.55666666666667,8125384.175719481
ERC,M2,cPVVG,Base,CZ11,36.25708333333334,9834034.788351558
ERC,M2,cPVVG,Base,CZ12,33.139583333333334,8454748.628646538
ERC,M2,cPVVG,Base,CZ13,37.3975,10163943.222941136
ERC,M2,cPVVG,Base,CZ14,33.69791666666667,9283596.34663719
ERC,M2,cPVVG,Base,CZ15,42.32083333333334,11103733.13177785
ERC,M2,cPVVG,Base,CZ16,25.15416666666667,7840120.271077767
ERC,M2,cPVVG,Measure,CZ01,16.715000000000003,4187294.681307393
ERC,M2,cPVVG,Measure,CZ02,25.97041666666667,6563618.368774438
ERC,M2,cPVVG,Measure,CZ03,24.965,5605034.358834142
ERC,M2,cPVVG,Measure,CZ04,32.625416666666666,8052886.430316403
ERC,M2,cPVVG,Measure,CZ05,22.50375,5255257.50642245
ERC,M2,cPVVG,Measure,CZ06,25.295833333333334,6027131.573182944
ERC,M2,cPVVG,Measure,CZ07,25.2725,8135402.202972008
ERC,M2,cPVVG,Measure,CZ08,32.28541666666666,7991278.0105054425
ERC,M2,cPVVG,Measure,CZ09,35.456250000000004,8361311.172666007
ERC,M2,cPVVG,Measure,CZ10,35.55666666666667,7852388.540553078
ERC,M2,cPVVG,Measure,CZ11,36.25708333333334,9687635.406190595
ERC,M2,cPVVG,Measure,CZ12,33.139583333333334,8229635.013456659
ERC,M2,cPVVG,Measure,CZ13,37.3975,10048296.533517871
ERC,M2,cPVVG,Measure,CZ14,33.69791666666667,9072015.981768806
ERC,M2,cPVVG,Measure,CZ15,42.32083333333334,10937403.895940254
ERC,M2,cPVVG,Measure,CZ16,25.15416666666667,7659034.903186009
ERC,M3,cDXGF,Base,CZ01,16.715000000000003,4024869.6812760625
ERC,M3,cDXGF,Base,CZ02,25.97041666666667,7102505.850782735
ERC,M3,cDXGF,Base,CZ03,24.965,5691473.340120327
ERC,M3,cDXGF,Base,CZ04,32.625416666666666,8791289.214648373
ERC,M3,cDXGF,Base,CZ05,22.50375,5175622.8494797265
ERC,M3,cDXGF,Base,CZ06,25.295833333333334,6121675.331945873
ERC,M3,cDXGF,Base,CZ07,25.2725,8583836.51032235
ERC,M3,cDXGF,Base,CZ08,32.28541666666666,8684067.374239063
ERC,M3,cDXGF,Base,CZ09,35.456250000000004,9181473.025662182
ERC,M3,cDXGF,Base,CZ10,35.55666666666667,8564108.002908267
ERC,M3,cDXGF,Base,CZ11,36.25708333333334,10863646.457579767
ERC,M3,cDXGF,Base,CZ12,33.139583333333334,9036365.045495085
ERC,M3,cDXGF,Base,CZ13,37.3975,11333735.045862019
ERC,M3,cDXGF,Base,CZ14,33.69791666666667,10071951.852222502
ERC,M3,cDXGF,Base,CZ15,42.32083333333334,12558764.630914144
ERC,M3,cDXGF,Base,CZ16,25.15416666666667,7962447.493673898
ERC,M3,cDXGF,Measure,CZ01,16.715000000000003,3773060.721939388
ERC,M3,cDXGF,Measure,CZ02,25.97041666666667,6341021.462588778
ERC,M3,cDXGF,Measure,CZ03,24.965,5160453.583475148
ERC,M3,cDXGF,Measure,CZ04,32.625416666666666,7699256.70920038
ERC,M3,cDXGF,Measure,CZ05,22.50375,4737385.072120795
ERC,M3,cDXGF,Measure,CZ06,25.295833333333334,5523439.251716648
ERC,M3,cDXGF,Measure,CZ07,25.2725,7713873.104356014
ERC,M3,cDXGF,Measure,CZ08,32.28541666666666,7569046.575503962
ERC,M3,cDXGF,Measure,CZ09,35.456250000000004,7940267.122240252
ERC,M3,cDXGF,Measure,CZ10,35.55666666666667,7461719.5916349515
ERC,M3,cDXGF,Measure,CZ11,36.25708333333334,9376960.814001579
ERC,M3,cDXGF,Measure,CZ12,33.139583333333334,7890008.319262777
ERC,M3,cDXGF,Measure,CZ13,37.3975,9750021.249570426
ERC,M3,cDXGF,Measure,CZ14,33.69791666666667,8727365.397250326
ERC,M3,cDXGF,Measure,CZ15,42.32083333333334,10725155.410638712
ERC,M3,cDXGF,Measure,CZ16,25.15416666666667,7080742.918101141
ERC,M3,cDXHP,Base,CZ01,16.715000000000003,3870767.7948107473
ERC,M3,cDXHP,Base,CZ02,25.97041666666667,6964916.164886339
ERC,M3,cDXHP,Base,CZ03,24.965,5539923.114022944
ERC,M3,cDXHP,Base,CZ04,32.625416666666666,8666843.71227867
ERC,M3,cDXHP,Base,CZ05,22.50375,4981555.830043418
ERC,M3,cDXHP,Base,CZ06,25.295833333333334,5948661.518553222
ERC,M3,cDXHP,Base,CZ07,25.2725,8417421.873295706
ERC,M3,cDXHP,Base,CZ08,32.28541666666666,8606082.639863906
ERC,M3,cDXHP,Base,CZ09,35.456250000000004,9125456.475818321
ERC,M3,cDXHP,Base,CZ10,35.55666666666667,8543975.190388374
ERC,M3,cDXHP,Base,CZ11,36.25708333333334,10789768.100588378
ERC,M3,cDXHP,Base,CZ12,33.139583333333334,8952109.980585478
ERC,M3,cDXHP,Base,CZ13,37.3975,11287157.50997469
ERC,M3,cDXHP,Base,CZ14,33.69791666666667,9951900.187859328
ERC,M3,cDXHP,Base,CZ15,42.32083333333334,12558764.630913982
ERC,M3,cDXHP,Base,CZ16,25.15416666666667,7589487.737620525
ERC,M3,cDXHP,Measure,CZ01,16.715000000000003,3620487.615964688
ERC,M3,cDXHP,Measure,CZ02,25.97041666666667,6194678.2381147165
ERC,M3,cDXHP,Measure,CZ03,24.965,5004591.058266744
ERC,M3,cDXHP,Measure,CZ04,32.625416666666666,7562195.8958400665
ERC,M3,cDXHP,Measure,CZ05,22.50375,4543213.887952626
ERC,M3,cDXHP,Measure,CZ06,25.295833333333334,5351362.186607664
