Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\RtL\M2-cPVVG-Base\instance0819140827\eplustbl.csv,M2,RtL,CZ16,cPVVG,Base,915185.92,894206.19,12123.99,0.0,34952.38,390717.39,389315.43,17.33,24.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\RtL\M2-cPVVG-Measure\instance0819145432\eplustbl.csv,M2,RtL,CZ01,cPVVG,Measure,664121.33,821073.62,12123.99,0.0,31705.43,304191.1,209391.94,22.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\RtL\M2-cPVVG-Measure\instance0819162209\eplustbl.csv,M2,RtL,CZ02,cPVVG,Measure,915878.4199999999,885517.9299999998,12123.99,0.0,21260.53,377068.25,220268.43,15.67,1.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\RtL\M2-cPVVG-Measure\instance0819174335\eplustbl.csv,M2,RtL,CZ03,cPVVG,Measure,766665.92,783978.91,12123.99,0.0,13156.73,360367.51,217432.36,11.83,1.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\RtL\M2-cPVVG-Measure\instance0819192657\eplustbl.csv,M2,RtL,CZ04,cPVVG,Measure,1064674.91,916487.49,12123.99,0.0,17939.91,427168.94,230804.47,13.33,5.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\RtL\M2-cPVVG-Measure\instance0819205909\eplustbl.csv,M2,RtL,CZ05,cPVVG,Measure,772600.9600000001,818067.8699999999,12123.99,0.0,11120.38,363397.98,222810.66,8.17,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\RtL\M2-cPVVG-Measure\instance0819225004\eplustbl.csv,M2,RtL,CZ06,cPVVG,Measure,803174.3500000001,738117.8,12123.99,0.0,3173.45,411350.55,243566.45,1.67,10.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\RtL\M2-cPVVG-Measure\instance0820003244\eplustbl.csv,M2,RtL,CZ07,cPVVG,Measure,827837.9200000002,742830.5,12123.99,0.0,2548.86,413218.14,241427.47,0.83,10.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\RtL\M2-cPVVG-Measure\instance0820022425\eplustbl.csv,M2,RtL,CZ08,cPVVG,Measure,973003.93,805923.27,12123.99,0.0,4222.13,453195.24,242866.34,2.17,14.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\RtL\M2-cPVVG-Measure\instance0820042353\eplustbl.csv,M2,RtL,CZ09,cPVVG,Measure,1012393.19,815280.53,12123.99,0.0,5972.56,456534.88,245549.66,5.17,13.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\RtL\M2-cPVVG-Measure\instance0820062235\eplustbl.csv,M2,RtL,CZ10,cPVVG,Measure,1052266.9100000001,819996.1399999999,12123.99,0.0,4732.18,465752.63,236420.79,3.5,12.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\RtL\M2-cPVVG-Measure\instance0820081928\eplustbl.csv,M2,RtL,CZ11,cPVVG,Measure,1139024.8499999999,905882.7100000001,12123.99,0.0,20490.93,458657.69,233555.46,13.67,20.33
